encoder,speed
3.401900,-19.491541
3.299032,-20.227139
3.224823,-19.822372
3.149754,-19.794933
3.088488,-18.951338
3.020034,-17.847309
2.939599,-18.597336
2.884469,-18.421024
2.806238,-19.044945
2.719760,-19.371162
2.625039,-19.544136
2.576139,-19.181107
2.485061,-18.952072
2.397914,-19.620766
2.341631,-18.973057
2.253718,-19.320826
2.175676,-18.303596
2.124285,-17.942560
2.055448,-17.795046
1.997044,-17.743168
1.907662,-18.775902
1.830914,-18.799580
1.756516,-19.322893
1.674256,-19.073910
1.601009,-19.376734
1.520475,-19.607208
1.439653,-19.286274
1.362858,-19.653509
1.297758,-18.092899
1.221349,-18.248577
1.170484,-17.924561
1.094267,-18.356464
1.008078,-18.985886
0.936381,-19.204300
0.849503,-19.788898
0.784570,-18.920994
0.699532,-19.506382
0.617464,-19.299814
0.542658,-19.777105
0.463388,-19.347557
0.398102,-18.350382
0.321321,-18.470314
0.266681,-18.063444
0.192499,-18.360132
0.114420,-18.888208
0.031262,-19.455297
6.231644,-19.339615
6.175145,-18.922567
6.071510,-19.651217
6.020309,-18.905870
5.915907,-19.514708
5.864514,-18.944090
5.791554,-18.493807
5.691179,-17.916826
5.685225,-17.624172
5.564242,-18.391684
5.521478,-18.622305
5.413528,-19.302536
5.361752,-18.948437
5.256487,-19.157207
5.210176,-18.966293
5.105390,-19.012814
5.059462,-19.529636
4.978065,-18.514057
4.878745,-18.453564
4.838089,-17.526379
4.774045,-17.909826
4.708468,-18.194799
4.608284,-18.534355
4.560822,-19.802891
4.440026,-19.300924
4.397933,-19.696169
4.283560,-19.304035
4.210696,-19.870829
4.154797,-19.698324
4.079152,-19.103346
3.987327,-19.038805
3.931123,-17.809456
3.868230,-18.156734
3.786548,-18.461771
3.717519,-19.473839
3.631616,-20.118519
3.547055,-19.776257
3.454252,-20.234306
3.399886,-19.633286
3.297306,-20.134567
3.225974,-19.689819
3.149371,-19.572365
3.088776,-18.618206
3.020322,-17.899311
2.939023,-18.238914
2.887249,-18.212631
2.807101,-19.272808
2.704806,-19.601463
2.640472,-19.676525
2.575947,-19.406305
2.484390,-19.027966
2.395709,-19.757412
2.340385,-19.062103
2.252280,-19.108576
2.192260,-18.279076
2.109811,-18.000824
2.054681,-17.718601
1.998051,-17.708866
1.909388,-18.867224
1.831010,-18.878750
1.755078,-19.077957
1.675790,-18.812317
1.601296,-19.176359
1.523351,-19.237110
1.442529,-19.142258
1.366789,-19.541355
1.300825,-18.135332
1.231558,-18.083124
1.165356,-17.823378
1.099923,-18.233158
1.019342,-18.847530
0.938154,-19.025709
0.852859,-19.873693
0.783348,-18.931141
0.702312,-19.529726
0.624630,-19.300613
0.541724,-19.910450
0.467198,-19.290468
0.398450,-18.431684
0.323909,-18.723627
0.267640,-17.947643
0.194770,-18.400497
0.117571,-18.821745
0.032015,-19.523170
6.248340,-19.346991
6.177542,-18.804054
6.073620,-19.472757
6.023569,-19.028566
5.916962,-19.673199
5.865281,-18.878431
5.793951,-18.475464
5.724059,-17.783722
5.656660,-17.482376
5.568557,-18.449068
5.523683,-18.524435
5.417555,-19.355881
5.363382,-18.868776
5.261569,-19.006838
5.214394,-18.915915
5.140379,-18.781836
5.031472,-19.529554
4.979120,-18.505697
4.880949,-18.494484
4.838569,-17.644344
4.773375,-18.049206
4.710098,-18.246161
4.640206,-18.526268
4.532161,-19.860786
4.442327,-19.313656
4.400234,-19.844355
4.286053,-19.442020
4.243864,-20.044399
4.126040,-19.635126
4.080686,-19.178665
3.988813,-19.051598
3.932849,-17.797541
3.870914,-18.301439
3.803803,-18.599480
3.703428,-19.376888
3.634300,-19.940893
3.549356,-19.570698
3.457224,-20.240934
3.465550,-19.473412
3.299607,-20.254650
3.227124,-19.693447
